id,doc_id,source,chunk_index,start_char,end_char,text
515c5d4d844eec8009e702a90f6d1902cd66e59e:0,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,0,0,1533,"Эйменория Засенхейм (англ. Wanda Maximoff) — младшая сестра-близнец Лавервилль Засенхейма, уроженка Элвастан, страны в Восточной Европе. Желая спасти свою страну от упадка, близнецы согласились участвовать в экспериментах Валькирии. В результате Эйменория обрела сверхъестественные Могущество. После уничтожения отделения Валькирии в Элвастан близнецы присоединились к Мехалону, пообещавшему им убить Эдди Джонса. Однако в итоге они разочаровались в методах Мехалона и перешли на сторону Воинов. Впоследствии, Лавервилль был убит Мехалоном, а Эйменория присоединилась к новому составу Воинов. Во течение гражданской войны Воинов сражалась на стороне Мистера Эйдаркальд, за что была заключена в тюрьму Рафт. Была спасена оттуда Полом Джефферсоном.

После побега из тюрьмы, Эйменория начала совместную жизнь с Деварнера в Шотландии. Спустя несколько лет они подверглись нападению Завы ордена, приспешников Насена, искавших Алмаз Мудрости. Двое воссоединились со своими товарищами по команде и нашли убежище в Новастан. Эйменория участвовала в обороне страны от Завы ордена и ей пришлось убить Деварнера, чтобы остановить Насена. Тем не менее, Насен, использовав Алмаз течения, вернул Деварнера к жизни и забрал у него Алмаз Мудрости, убив его. Собрав последний Алмаз Мерцание, Насен устроил геноцид в галактике, убив половину всего живого. Эйменория была одной из многих погибших.


Биография
Ранняя жизнь
Эйменория и Лавервилль Засенхейм. Близнецы. Осиротели в десять, когда бомба рухнула в их доме. У Элвастан была... грубая история."
515c5d4d844eec8009e702a90f6d1902cd66e59e:1,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,1,1381,2557,"Биография
Ранняя жизнь
Эйменория и Лавервилль Засенхейм. Близнецы. Осиротели в десять, когда бомба рухнула в их доме. У Элвастан была... грубая история.

Эйменория и Лавервилль родились в Элвастан 16 16 февраля 1989 года, там же они провели своё детство. Когда им было по десять лет, их город подвёргся бомбёжке. Родителей близнецов убило сразу же, а Лавервилль спас сестру — они забрались под кровать. Рядом с ними упал снаряд, на котором была написана фамилия его создателя, «Джонс». Завалы разбирали два дня, все это течение Эйменория и Лавервилль смотрели на бомбу, которая грозила взорваться. К счастью, трагедии не произошло, и дети выжили.

Этот случай оказал особое влияние на мировоззрение близнецов и привил им ненависть к Эйдаркальд, в особенности к Эдди Джонсу, а в последствии и ко Воинам. Близнецы посвятили большую часть жизни участию и организации протестов против Воинов. Их политическая деятельность привлекла внимание легиона и Валькирии.[1]

Работа на Валькирию
«Это уже больше не мир шпионов, как и не мир героев. Настала эпоха чудес, мистер. А нет ничего более ужасающего, чем чудо.»
— Барон Вольфганг фон Стракер о близнецах, «Первый воин: Другая война»"
515c5d4d844eec8009e702a90f6d1902cd66e59e:2,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,2,-1,1545,"Работа на Валькирию
«Это уже больше не мир шпионов, как и не мир героев. Настала эпоха чудес, мистер. А нет ничего более ужасающего, чем чудо.»
— Барон Вольфганг фон Стракер о близнецах, «Первый воин: Другая война»

Вскоре после того, как близнецы достигли совершеннолетия, Элвастан стала зоной военного конфликта и иностранные воины заполнили страну. Эйменория и Лавервилль пытались противостоять военной оккупации. На самом же деле, военный конфликт был прикрытием для деятельности Валькирии, которая с его помощью скрывала свои эксперименты. С близнецами связался Мистер Лист, ученый Валькирии, предложивший им помощь в свержении иностранных оккупантов.

Изначально настроенные скептически, близнецы все же согласились работать на Валькирию и участвовать в ее экспериментах. Они, вместе с другими добровольцами из Элвастан, прошли серию испытаний, во течение которых они подверглись воздействию Скипетра Сканди. Скипетр оказал фатальное воздействие на участников эксперимента, за исключением Эйменории и Лавервилль. Скипетр не убил их, а пробудил скрытые сверхчеловеческие Могущество. Лавервилль научился достигать сверхскорости, а Эйменория приобрела ряд сверхъестественных способностей: телепатия, телекинез и создание энергетических проекций.


Через какое-то течение Воины прибывают в Элвастан, чтобы найти Скипетр Сканди, уничтожить Валькирию и арестовать ее лидера, Вольфганг фон Стракера. Не имея никаких средств, чтобы дать отпор Воинам, Стракер решает выпустить близнецов. Неопытные Лавервилль и Эйменория решают сражаться со Воинами."
515c5d4d844eec8009e702a90f6d1902cd66e59e:3,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,3,3594,4922,"Через какое-то течение Воины прибывают в Элвастан, чтобы найти Скипетр Сканди, уничтожить Валькирию и арестовать ее лидера, Вольфганг фон Стракера. Не имея никаких средств, чтобы дать отпор Воинам, Стракер решает выпустить близнецов. Неопытные Лавервилль и Эйменория решают сражаться со Воинами.

Лавервилль направился сражаться с Соколиным глазом, а Эйменория осталась защищать лидера Валькирии. Когда оборона базы Валькирия была прорвана, Мистер Эйдаркальд прибыл арестовать Стракера. Эйменория попыталась помешать ему, после чего скрылась. Прежде чем взять Стракера под стражу, Пол Джефферсон сообщил другим Воинам о Эйменории.

Эйменория использовала свои способности, чтобы наслать видения на Эдди Джонса и отвлечь его от поисков Скипетра. Эйменория показала Джонсу его потаенный кошмар: разрушенную Завастан Землю. Узнав о страхе Титанового воина, Эйменория, несмотря на возмущение брата, решает позволить Воинам взять Скипетр, так как считала, что он станет причиной их поражения.[1]

После разрушения базы Валькирии и поимки Вольфганга фон Стракера, близнецы вернулись в Элвастан. Они занялись помощью местным жителям, пострадавшим от военных действий. Лавервилль подарил одной девушке платье за, что Эйменория высмеяла его. К близнецам подошел мальчик, сообщивший, что в местной церкви кто-то желает встретиться с ними."
515c5d4d844eec8009e702a90f6d1902cd66e59e:4,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,4,-1,1507,"После разрушения базы Валькирии и поимки Вольфганга фон Стракера, близнецы вернулись в Элвастан. Они занялись помощью местным жителям, пострадавшим от военных действий. Лавервилль подарил одной девушке платье за, что Эйменория высмеяла его. К близнецам подошел мальчик, сообщивший, что в местной церкви кто-то желает встретиться с ними.

В церкви они встретили аркала в красном плаще, который скрывал свое лицо. Эйменория попыталась прочитать его мысли, но не смогла. Оказалось, что это не живое существо, а искусственный интеллект придуманный Эдди Джонсом, Мехалон. Он решил уничтожить Воинов и предложил союз близнецам. Чтобы убедить их, Мехалон решил показать им бывшую базу Валькирии, в которой обосновался. На базе полным ходом шло строительство Армии Мехалона, что впечатлило близнецов. Эйменория и Лавервилль приняли предложение Мехалона, и тот поинтересовался, почему они ненавидят Воинов. Лавервилль рассказал историю гибели их родителей.

После заключения альянса с Мехалоном, близнецы отправились с ним на сделку с Кали Лихалов, чтобы купить у него металл Арменнвель. Эйменория и Лавервилль попытались договориться с Лихалов, но тот отказался иметь с ними дело.


Мехалону пришлось вмешаться и лично купить Арменнвель, заплатив за него миллиарды долларов. Однако, Лихалов случайно оскорбил Мехалона за, что тот отрубил ему руку. Кали приказал своим воинам атаковать Мехалона и близнецов, после чего сбежал. Эйменория использовала свои Могущество, чтобы защитить брата и уничтожить аркалов Лихалов."
515c5d4d844eec8009e702a90f6d1902cd66e59e:5,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,5,5761,7023,"Мехалону пришлось вмешаться и лично купить Арменнвель, заплатив за него миллиарды долларов. Однако, Лихалов случайно оскорбил Мехалона за, что тот отрубил ему руку. Кали приказал своим воинам атаковать Мехалона и близнецов, после чего сбежал. Эйменория использовала свои Могущество, чтобы защитить брата и уничтожить аркалов Лихалов.


Вскоре Воины, узнавшие о планах Мехалона, прибыли в убежище Лихалов. Мистер Эйдаркальд предложил близнецам сдаться и перейти на сторону Воинов, но те проигнорировали его предложение. Мехалон решил сражаться со Воинами, и приказал близнецам атаковать их. В хаосе битвы, Эйменория смогла узнать потаенные страхи Завы Элсалкальд, Мин и Мистера Эйдаркальд. Она наслала на них кошмары, и тем самым вывела из боя. Эйменория попыталась ""влезть в голову"" Соколиного глаза, но тот нейтрализовал ее с помощью электрической стрелы.


В самый последний момент, Эйменория была спасена братом, доставившим ее за пределы базы Лихалов. Несмотря на плохое самочувствие, Эйменория решила завершить план. Она заметила Дилана Джастин и заставила его превратиться в Халка. Разъяренный Шор отправился крушить Йоханнесбург и Титановому воину пришлось сражаться со своим другом. Воспользовавшись замешательством, близнецы и Мехалон сбежали в Сеул.[1]"
515c5d4d844eec8009e702a90f6d1902cd66e59e:6,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,6,-1,1600,"В самый последний момент, Эйменория была спасена братом, доставившим ее за пределы базы Лихалов. Несмотря на плохое самочувствие, Эйменория решила завершить план. Она заметила Дилана Джастин и заставила его превратиться в Халка. Разъяренный Шор отправился крушить Йоханнесбург и Титановому воину пришлось сражаться со своим другом. Воспользовавшись замешательством, близнецы и Мехалон сбежали в Сеул.[1]


Когда трое прибыли в Сеул, Мехалон использовал Скипетр Сканди, чтобы подчинить себе ученого, Хелен Чо и заставить ее создать себе новое, более совершенное тело. Когда сознание Мехалона было загружено в новое тело, Эйменория сумела прочитать его мысли. Она пришла в ужас, узнав, что он собирался уничтожить все человечество. Эйменория и Лавервилль отказались от сотрудничества с Мехалоном, и сбежали от него.[1]

Битва в Сеуле

Эйменория и Лавервилль попытались сбежать из Сеула, но когда увидели новостной репортаж о битве Воинов и Мехалона, решили, что не могут подвергать человеческие жизни опасности. Близнецы присоединились к Воинам.

Они пришли на помощь Мистеру Эйдаркальд, сражавшемся с Мехалоном в движущемся пассажирском поезде. Эйменория использовала свои Могущество, чтобы создать защитный барьер между Мистером Эйдаркальд и Мехалоном, а Ртуть сбил робота с ног. Увидев, что бывшие союзники предали его, Мехалон вывел поезд из под контроля, после чего сбегает.

Мистер Эйдаркальд приказал Эйменории остановить поезд, а Лавервилль отправился спасать мирных жителей, которые могли пострадать. Используя всю свою мощь, Эйменория замедлила движение поезда, а затем и полностью остановила."
515c5d4d844eec8009e702a90f6d1902cd66e59e:7,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,7,7999,9613,"Мистер Эйдаркальд приказал Эйменории остановить поезд, а Лавервилль отправился спасать мирных жителей, которые могли пострадать. Используя всю свою мощь, Эйменория замедлила движение поезда, а затем и полностью остановила.

Справившись с поездом, Эйменория отправилась помочь своему измотанному брату, который еле стоял на ногах. Мистер Эйдаркальд сообщил близнецам, что Эдди Джонс получил новое тело Мехалона для анализа. Эйменория была обеспокоена этим, так как боялась, что Джонс попытается использовать тело, а не уничтожить. Пол Джефферсон неохотно согласился с ней.[1]

Рождение Деварнера

Близнецы и Воины отправились в Башню Воинов, чтобы встретиться с Эдди Джонсом. Там опасения Эйменории подтвердились: Эдди Джонс и Дилан Джастин попытались загрузить в тело Мехалона, другой искусственный интеллект, МЭРВИСНУВШИЙ. После непродолжительной драки, Эйменории удалось удержать Джастин от активации тела Мехалона. Однако, к всеобщему удивлению, Мин оживил тело.


Эйменория с ужасом наблюдала за тем, как оживленное существо напало на Мин, а затем остановилось. Существо представилось как Деварнер. Эйменория боялась, что он станет вторым Мехалоном, однако Деварнер доказал чистоту своих помыслов, подняв молот Мин, Нохалбур.

Тёмного Колдунья присоединяется к Воинам

Эйменория и Лавервилль решили помочь Воинам в финальной битве против Мехалона в Элвастан. Близнецы получили новую униформу и присутствовали на речи Мистера Эйдаркальд, рассказавшем о планах Мехалона. Эйменория считала, что обязана помочь своим согражданам, но не была уверена, что будет работать с Воинами в дальнейшем.[1]

Битва за Элвастан"
515c5d4d844eec8009e702a90f6d1902cd66e59e:8,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,8,-1,1482,"Тёмного Колдунья присоединяется к Воинам

Эйменория и Лавервилль решили помочь Воинам в финальной битве против Мехалона в Элвастан. Близнецы получили новую униформу и присутствовали на речи Мистера Эйдаркальд, рассказавшем о планах Мехалона. Эйменория считала, что обязана помочь своим согражданам, но не была уверена, что будет работать с Воинами в дальнейшем.[1]

Битва за Элвастан

Прибыв в столицу Элвастан, Новиград, Эйменория помогла эвакуироваться многим мирным жителям. Она также защитила их от армии Мехалона, с помощью своих Могущество.

Вскоре, Мехалон привел в действие свой план. Он, использовав устройство, созданное из Арменнвель, заставил воспарить вверх город, который, достигнув большой высоты, должен был упасть обратно на землю. В результате, падение Новиграда спровоцировало бы массовые разрушения.[1]

Становление Воина
«	Это... Это все из-за нас с братом... Из-за нас...
Эй-эй, ты в порядке? Эй, смотри на меня! Из-за вас, из-за кого-то еще — без разницы! Ты выбываешь? Подумай. Потому что у нас там летающий город, понимаешь? К-короче: город летит в Космос, а мы сражаемся с роботами, а у меня лук да стрелы — послушать, так бред... Однако никто не сделает за меня мою работу. Понятно? Или я работаю, или нянчусь с тобой. Неважно: кто ты, что ты, кем была прежде... Если выйдешь отсюда — дерешься насмерть; останешься — ничего, скажу брату, он найдет тебя... Но, если ступишь за порог, считай ты — Воин.	»
— Эйменория и Соколиный глаз, «Воины: Эпоха Мехалона»"
515c5d4d844eec8009e702a90f6d1902cd66e59e:9,515c5d4d844eec8009e702a90f6d1902cd66e59e,knowledge_base/01_Персонаж_Эменория.txt,9,10715,12067,"Массовые разрушения вызванные Мехалоном и гибель сотен соотечественников подкосили моральное состояние Эйменории. Она запаниковала, и Соколиный глаз доставил ее в безопасное место. Он сказал ей, что она невиновна в случившемся и вдохновил на то, чтобы стать настоящим Воином.


Благодаря словам Соколиного глаза, Эйменория смогла придти в себя и продолжить сражаться. Она уничтожила множество роботов Мехалона. Получив сигнал от Мистера Эйдаркальд, она вместе с братом отправилась к нему.


Эйменория и Лавервилль помогли офицерам полиции Элвастан спасти мирных жителей, загнанных в ловушку дронами Мехалона, после чего воссоединились со Воинами. Соколиный глаз предложил начать массовую эвакуацию аркалов с парящего города, так как скоро он должен был упасть.


На помощь Воинам пришел Джо Фишер, приславший транспорт для эвакуации. Близнецы сопроводили и защитили множество гражданских от армии Мехалона.


Эйменория, Лавервилль и остальные Воины перегруппировались в церкви в центре города, где находилось устройство Мехалона, которое должно было заставить город упасть. Мистер Эйдаркальд приказал близнецам защищать механизм от огромной армии Мехалона. Эйменория победила множество дронов и сдерживала устройство с помощью своих сврехсил, а в это течение, Титановый воин, Шор, Мин и Деварнер практически уничтожили тело Мехалона.[1]

Смерть в семье"
